pclass,sex,age,sibsp,parch,fare,adult_male,deck,embark_town,alone,survived
3,male,,0,0,7.3125,True,,Southampton,True,0
3,male,28.0,1,0,15.85,True,,Southampton,False,0
3,female,39.0,1,5,31.275,False,,Southampton,False,0
3,female,2.0,0,1,10.4625,False,G,Southampton,False,0
2,male,30.0,0,0,10.5,True,,Southampton,True,0
3,male,25.0,0,0,7.225,True,,Cherbourg,True,0
3,male,14.0,4,1,39.6875,False,,Southampton,False,0
1,female,35.0,1,0,52.0,False,,Southampton,False,1
1,male,17.0,0,2,110.8833,True,C,Cherbourg,False,1
3,male,,0,0,7.725,True,,Queenstown,True,0
3,female,18.0,0,0,6.75,False,,Queenstown,True,0
3,female,23.0,0,0,7.55,False,,Southampton,True,1
3,male,50.0,0,0,8.05,True,,Southampton,True,0
1,female,21.0,2,2,262.375,False,B,Cherbourg,False,1
1,female,58.0,0,0,146.5208,False,B,Cherbourg,True,1
2,female,3.0,1,2,41.5792,False,,Cherbourg,False,1
2,female,13.0,0,1,19.5,False,,Southampton,False,1
2,male,57.0,0,0,12.35,True,,Queenstown,True,0
2,male,16.0,0,0,26.0,True,,Southampton,True,0
3,female,,0,0,7.75,False,,Queenstown,True,1
2,male,60.0,1,1,39.0,True,,Southampton,False,0
1,male,22.0,0,0,135.6333,True,,Cherbourg,True,0
2,male,30.0,0,0,13.0,True,,Southampton,True,0
3,male,17.0,0,0,8.6625,True,,Southampton,True,0
3,male,25.0,0,0,7.8958,True,,Southampton,True,0
3,male,27.0,0,0,8.6625,True,,Southampton,True,1
3,male,36.0,0,0,0.0,True,,Southampton,True,0
3,female,,0,0,8.05,False,,Southampton,True,0
3,female,,0,0,7.2292,False,,Cherbourg,True,1
3,male,29.0,0,0,9.4833,True,,Southampton,True,0
1,female,30.0,0,0,106.425,False,,Cherbourg,True,1
3,male,,0,0,8.05,True,,Southampton,True,0
1,male,51.0,0,1,61.3792,True,,Cherbourg,False,0
3,female,16.0,0,0,7.7333,False,,Queenstown,True,1
3,female,,0,0,7.75,False,,Queenstown,True,1
3,female,1.0,0,2,15.7417,False,,Cherbourg,False,1
3,male,22.0,0,0,7.7958,True,,Southampton,True,0
3,female,,1,1,22.3583,False,F,Cherbourg,False,1
3,male,7.0,4,1,29.125,False,,Queenstown,False,0
1,male,,0,0,30.5,True,C,Southampton,True,1
3,male,,1,0,7.75,True,,Queenstown,False,0
1,female,33.0,1,0,53.1,False,E,Southampton,False,1
3,male,7.0,4,1,39.6875,False,,Southampton,False,0
3,male,32.0,0,0,7.75,True,,Queenstown,True,0
2,male,50.0,0,0,13.0,True,,Southampton,True,0
2,male,59.0,0,0,13.5,True,,Southampton,True,0
1,male,28.0,1,0,82.1708,True,,Cherbourg,False,0
3,male,,0,0,8.05,True,,Southampton,True,0
1,male,60.0,0,0,26.55,True,,Southampton,True,0
3,female,17.0,0,0,14.4583,False,,Cherbourg,True,0
2,male,32.5,1,0,30.0708,True,,Cherbourg,False,0
1,female,21.0,0,0,77.9583,False,D,Southampton,True,1
3,male,3.0,4,2,31.3875,False,,Southampton,False,1
2,male,19.0,0,0,10.5,True,,Southampton,True,0
2,female,24.0,2,3,18.75,False,,Southampton,False,1
1,female,18.0,0,2,79.65,False,E,Southampton,False,1
1,female,49.0,0,0,25.9292,False,D,Southampton,True,1
3,female,41.0,0,2,20.2125,False,,Southampton,False,0
3,male,30.0,0,0,9.5,True,,Southampton,True,1
3,male,59.0,0,0,7.25,True,,Southampton,True,0
3,female,4.0,0,1,13.4167,False,,Cherbourg,False,1
3,female,,0,2,15.2458,False,,Cherbourg,False,0
3,male,51.0,0,0,7.75,True,,Southampton,True,0
2,female,45.0,1,1,26.25,False,,Southampton,False,1
3,male,18.0,1,1,20.2125,True,,Southampton,False,0
3,female,,8,2,69.55,False,,Southampton,False,0
3,female,,1,0,15.5,False,,Queenstown,False,1
2,male,28.0,0,1,33.0,True,,Southampton,False,0
3,male,55.5,0,0,8.05,True,,Southampton,True,0
1,male,24.0,0,1,247.5208,True,B,Cherbourg,False,0
1,male,,0,0,0.0,True,,Southampton,True,0
3,female,,1,0,16.1,False,,Southampton,False,1
3,male,,1,2,23.45,True,,Southampton,False,0
3,male,,8,2,69.55,True,,Southampton,False,0
2,female,29.0,1,0,26.0,False,,Southampton,False,1
1,female,58.0,0,1,153.4625,False,C,Southampton,False,1
3,female,26.0,0,0,7.925,False,,Southampton,True,1
1,female,44.0,0,1,57.9792,False,B,Cherbourg,False,1
3,male,,0,0,7.225,True,,Cherbourg,True,0
3,male,32.0,0,0,8.3625,True,,Southampton,True,0
2,male,26.0,0,0,10.5,True,,Southampton,True,0
3,male,16.0,0,0,8.05,True,,Southampton,True,0
3,male,19.0,0,0,7.775,True,,Southampton,True,0
3,male,,0,0,7.8958,True,,Southampton,True,0
3,male,48.0,0,0,7.8542,True,,Southampton,True,0
3,male,,0,0,7.75,True,,Queenstown,True,0
3,male,9.0,5,2,46.9,False,,Southampton,False,0
1,female,35.0,1,0,83.475,False,C,Southampton,False,1
3,male,12.0,1,0,11.2417,False,,Cherbourg,False,1
3,female,31.0,0,0,7.8542,False,,Southampton,True,0
2,female,27.0,1,0,13.8583,False,,Cherbourg,False,1
1,female,43.0,0,1,211.3375,False,B,Southampton,False,1
3,female,30.5,0,0,7.75,False,,Queenstown,True,0
3,male,34.0,0,0,8.05,True,,Southampton,True,0
2,male,,0,0,0.0,True,,Southampton,True,0
2,male,23.0,0,0,13.0,True,,Southampton,True,0
3,female,24.0,0,2,16.7,False,G,Southampton,False,1
2,male,39.0,0,0,26.0,True,,Southampton,True,0
2,female,24.0,0,0,13.0,False,F,Southampton,True,1
3,male,,0,0,7.8292,True,,Queenstown,True,0
3,female,0.75,2,1,19.2583,False,,Cherbourg,False,1
2,male,34.0,0,0,13.0,True,,Southampton,True,0
3,male,23.0,0,0,9.225,True,,Southampton,True,0
2,female,42.0,1,0,26.0,False,,Southampton,False,1
3,male,,0,0,8.4583,True,,Queenstown,True,0
3,male,22.0,0,0,8.05,True,,Southampton,True,0
2,male,0.83,0,2,29.0,False,,Southampton,False,1
3,female,,0,0,7.55,False,,Southampton,True,0
2,male,52.0,0,0,13.5,True,,Southampton,True,0
3,male,17.0,1,0,7.0542,True,,Southampton,False,0
1,male,49.0,1,0,89.1042,True,C,Cherbourg,False,1
3,male,44.0,0,0,7.925,True,,Southampton,True,1
3,male,6.0,0,1,12.475,False,E,Southampton,False,1
1,male,64.0,0,0,26.0,True,,Southampton,True,0
3,female,18.0,0,0,7.775,False,,Southampton,True,0
3,male,19.0,0,0,14.5,True,,Southampton,True,0
3,male,26.0,1,2,20.575,True,,Southampton,False,0
2,male,43.0,1,1,26.25,True,,Southampton,False,0
3,male,,0,0,24.15,True,,Queenstown,True,0
3,female,23.0,0,0,7.925,False,,Southampton,True,0
3,male,16.0,4,1,39.6875,True,,Southampton,False,0
1,female,36.0,0,2,71.0,False,B,Southampton,False,1
1,female,22.0,0,1,55.0,False,E,Southampton,False,1
3,male,19.0,0,0,7.8958,True,,Southampton,True,0
3,female,,0,0,7.8792,False,,Queenstown,True,1
3,male,47.0,0,0,9.0,True,,Southampton,True,0
2,female,40.0,0,0,15.75,False,,Southampton,True,1
3,female,20.0,1,0,9.825,False,,Southampton,False,0
2,female,36.0,1,0,26.0,False,,Southampton,False,1
3,male,18.0,1,1,7.8542,True,,Southampton,False,0
2,male,18.0,0,0,11.5,True,,Southampton,True,0
3,male,32.0,0,0,56.4958,True,,Southampton,True,1
3,male,33.0,0,0,7.8958,True,,Cherbourg,True,0
1,male,35.0,0,0,26.55,True,,Cherbourg,True,1
1,male,64.0,1,4,263.0,True,C,Southampton,False,0
1,male,52.0,1,1,79.65,True,E,Southampton,False,0
3,female,24.0,0,3,19.2583,False,,Cherbourg,False,1
3,male,61.0,0,0,6.2375,True,,Southampton,True,0
2,male,24.0,0,0,10.5,True,,Southampton,True,0
3,male,43.0,0,0,8.05,True,,Southampton,True,0
2,female,34.0,0,0,10.5,False,F,Southampton,True,1
3,female,63.0,0,0,9.5875,False,,Southampton,True,1
1,female,24.0,0,0,69.3,False,B,Cherbourg,True,1
1,female,38.0,1,0,71.2833,False,C,Cherbourg,False,1
3,male,21.0,0,0,7.25,True,,Southampton,True,0
1,female,45.0,1,1,164.8667,False,,Southampton,False,1
3,male,16.0,1,3,34.375,True,,Southampton,False,0
3,male,20.0,1,0,7.925,True,,Southampton,False,1
2,male,,0,0,15.05,True,,Cherbourg,True,0
3,female,41.0,0,5,39.6875,False,,Southampton,False,0
2,male,30.0,0,0,13.0,True,,Southampton,True,0
3,male,29.0,0,0,8.05,True,,Southampton,True,0
3,female,3.0,3,1,21.075,False,,Southampton,False,0
2,male,3.0,1,1,26.0,False,F,Southampton,False,1
2,male,54.0,1,0,26.0,True,,Southampton,False,0
3,male,28.0,2,0,7.925,True,,Southampton,False,0
3,male,36.0,0,0,7.4958,True,,Southampton,True,0
1,male,48.0,0,0,26.55,True,E,Southampton,True,1
3,female,31.0,0,0,8.6833,False,,Southampton,True,1
3,male,26.0,0,0,7.8958,True,,Southampton,True,0
3,male,,3,1,25.4667,True,,Southampton,False,0
3,male,0.42,0,1,8.5167,False,,Cherbourg,False,1
3,female,25.0,0,0,7.775,False,,Southampton,True,0
1,male,,0,0,52.0,True,A,Southampton,True,0
3,male,38.0,0,0,8.6625,True,,Southampton,True,0
3,male,,0,0,8.05,True,,Southampton,True,0
3,male,,1,1,15.2458,True,,Cherbourg,False,1
3,male,15.0,1,1,7.2292,False,,Cherbourg,False,0
2,male,35.0,0,0,26.0,True,,Southampton,True,0
3,male,,0,0,7.775,True,,Southampton,True,0
1,male,24.0,0,0,79.2,True,B,Cherbourg,True,0
1,male,36.0,0,0,40.125,True,A,Cherbourg,True,0
3,female,22.0,0,0,7.775,False,,Southampton,True,1
1,male,50.0,2,0,133.65,True,,Southampton,False,1
3,male,,0,0,7.75,True,,Queenstown,True,0
3,male,45.5,0,0,7.225,True,,Cherbourg,True,0
3,male,33.0,0,0,7.775,True,,Southampton,True,0
3,male,19.0,0,0,7.8958,True,,Southampton,True,0
2,male,18.0,0,0,13.0,True,,Southampton,True,0
3,female,16.0,0,0,7.75,False,,Queenstown,True,1
1,male,,0,0,30.0,True,D,Southampton,True,1
1,male,,0,0,29.7,True,C,Cherbourg,True,1
1,male,48.0,1,0,76.7292,True,D,Cherbourg,False,1
3,male,22.0,0,0,7.8958,True,,Southampton,True,0
1,male,29.0,0,0,30.0,True,D,Southampton,True,0
1,male,,0,0,25.925,True,,Southampton,True,0
1,male,38.0,0,1,153.4625,True,C,Southampton,False,0
3,male,44.0,0,0,8.05,True,,Southampton,True,0
2,male,3.0,1,1,18.75,False,,Southampton,False,1
1,female,18.0,1,0,227.525,False,C,Cherbourg,False,1
1,male,18.0,1,0,108.9,True,C,Cherbourg,False,0
3,male,,1,0,24.15,True,,Queenstown,False,0
3,male,2.0,3,1,21.075,False,,Southampton,False,0
1,male,35.0,0,0,512.3292,True,B,Cherbourg,True,1
3,male,74.0,0,0,7.775,True,,Southampton,True,0
2,male,31.0,0,0,13.0,True,,Southampton,True,1
3,male,28.5,0,0,16.1,True,,Southampton,True,0
1,male,56.0,0,0,30.6958,True,A,Cherbourg,True,0
3,male,26.0,1,0,7.8542,True,,Southampton,False,0
3,male,32.0,0,0,7.8542,True,,Southampton,True,1
3,male,,0,0,7.2292,True,,Cherbourg,True,1
1,male,40.0,0,0,31.0,True,A,Cherbourg,True,1
1,male,27.0,0,0,76.7292,True,D,Cherbourg,True,1
3,male,,0,0,15.5,True,,Queenstown,True,0
3,male,38.0,0,0,7.8958,True,,Southampton,True,0
3,male,1.0,4,1,39.6875,False,,Southampton,False,0
2,male,,0,0,0.0,True,,Southampton,True,0
3,male,,0,0,7.7292,True,,Queenstown,True,0
2,male,0.67,1,1,14.5,False,,Southampton,False,1
3,male,,1,0,15.5,True,,Queenstown,False,0
3,female,2.0,0,1,12.2875,False,,Southampton,False,1
3,female,18.0,0,0,9.8417,False,,Southampton,True,1
1,female,51.0,1,0,77.9583,False,D,Southampton,False,1
2,male,29.0,1,0,27.7208,True,,Cherbourg,False,0
3,male,49.0,0,0,0.0,True,,Southampton,True,0
3,male,24.0,0,0,9.5,True,,Southampton,True,0
3,female,31.0,1,1,20.525,False,,Southampton,False,1
3,female,45.0,0,0,7.75,False,,Southampton,True,0
3,male,32.0,0,0,7.925,True,,Southampton,True,0
3,female,18.0,0,1,14.4542,False,,Cherbourg,False,0
2,female,44.0,1,0,26.0,False,,Southampton,False,0
1,female,47.0,1,1,52.5542,False,D,Southampton,False,1
2,male,36.5,0,2,26.0,True,F,Southampton,False,0
2,male,30.0,0,0,13.0,True,,Southampton,True,0
2,female,27.0,0,0,10.5,False,E,Southampton,True,1
3,male,29.0,0,0,9.5,True,,Southampton,True,1
1,male,71.0,0,0,49.5042,True,,Cherbourg,True,0
1,female,52.0,1,1,93.5,False,B,Southampton,False,1
3,female,43.0,1,6,46.9,False,,Southampton,False,0
3,male,22.0,0,0,7.8958,True,,Southampton,True,0
3,female,,2,0,23.25,False,,Queenstown,False,1
1,female,,0,1,55.0,False,E,Southampton,False,1
3,male,26.0,0,0,7.8958,True,,Southampton,True,0
3,female,25.0,1,0,7.925,False,,Southampton,False,0
1,male,,0,0,0.0,True,B,Southampton,True,0
1,female,31.0,0,2,164.8667,False,C,Southampton,False,1
3,male,45.0,0,0,8.05,True,,Southampton,True,1
3,male,22.0,0,0,7.25,True,,Southampton,True,0
1,female,49.0,1,0,76.7292,False,D,Cherbourg,False,1
2,female,22.0,1,2,41.5792,False,,Cherbourg,False,1
3,female,4.0,0,2,22.025,False,,Southampton,False,1
3,female,29.0,0,2,15.2458,False,,Cherbourg,False,1
2,male,34.0,0,0,13.0,True,,Southampton,True,0
1,female,48.0,0,0,25.9292,False,D,Southampton,True,1
2,female,27.0,1,0,21.0,False,,Southampton,False,0
1,female,54.0,1,0,59.4,False,,Cherbourg,False,1
2,male,,0,0,13.8625,True,,Cherbourg,True,1
2,female,19.0,1,0,26.0,False,,Southampton,False,1
1,female,22.0,1,0,66.6,False,C,Southampton,False,1
1,male,45.5,0,0,28.5,True,C,Southampton,True,0
1,male,,0,0,27.7208,True,,Cherbourg,True,0
3,male,23.0,0,0,7.8542,True,,Southampton,True,0
3,male,30.0,0,0,8.05,True,,Southampton,True,0
3,male,,0,0,7.2292,True,,Cherbourg,True,0
2,male,34.0,1,0,21.0,True,,Southampton,False,0
3,male,31.0,0,0,7.925,True,,Southampton,True,1
3,male,,8,2,69.55,True,,Southampton,False,0
3,male,40.0,1,4,27.9,True,,Southampton,False,0
3,female,,0,0,7.75,False,,Queenstown,True,1
2,male,32.0,0,0,10.5,True,,Southampton,True,0
3,male,20.0,0,0,9.225,True,,Southampton,True,0
1,male,27.0,0,2,211.5,True,C,Cherbourg,False,0
2,female,32.5,0,0,13.0,False,E,Southampton,True,1
1,female,44.0,0,0,27.7208,False,B,Cherbourg,True,1
2,male,23.0,0,0,15.0458,True,,Cherbourg,True,0
3,male,34.0,1,1,14.4,True,,Southampton,False,0
2,male,32.0,1,0,26.0,True,,Southampton,False,1
1,male,4.0,0,2,81.8583,False,A,Southampton,False,1
3,female,2.0,4,2,31.275,False,,Southampton,False,0
2,male,,0,0,0.0,True,,Southampton,True,0
2,male,25.0,0,0,13.0,True,,Southampton,True,0
3,male,24.0,0,0,8.05,True,,Southampton,True,0
3,male,21.0,0,0,8.6625,True,,Southampton,True,0
2,male,31.0,0,0,10.5,True,,Southampton,True,0
2,male,54.0,0,0,14.0,True,,Southampton,True,0
3,female,33.0,3,0,15.85,False,,Southampton,False,1
2,male,23.0,0,0,13.0,True,,Southampton,True,0
2,male,19.0,1,1,36.75,True,,Southampton,False,0
3,male,65.0,0,0,7.75,True,,Queenstown,True,0
3,male,,1,0,19.9667,True,,Southampton,False,0
2,female,42.0,0,0,13.0,False,,Southampton,True,1
2,male,18.0,0,0,11.5,True,,Southampton,True,0
2,male,27.0,0,0,13.0,True,,Southampton,True,0
1,male,54.0,0,1,77.2875,True,D,Southampton,False,0
3,male,,0,0,7.2292,True,,Cherbourg,True,0
1,male,47.0,0,0,52.0,True,C,Southampton,True,0
3,male,11.0,5,2,46.9,False,,Southampton,False,0
2,male,21.0,2,0,73.5,True,,Southampton,False,0
2,male,29.0,0,0,10.5,True,,Southampton,True,0
3,male,39.0,0,0,24.15,True,,Southampton,True,0
3,female,39.0,0,5,29.125,False,,Queenstown,False,0
3,male,36.0,1,0,15.55,True,,Southampton,False,0
1,female,17.0,1,0,108.9,False,C,Cherbourg,False,1
3,male,,0,0,8.6625,True,,Southampton,True,0
3,female,11.0,4,2,31.275,False,,Southampton,False,0
3,female,47.0,1,0,14.5,False,,Southampton,False,0
1,male,,0,0,26.0,True,A,Southampton,True,0
3,female,38.0,1,5,31.3875,False,,Southampton,False,1
2,female,,0,0,12.35,False,E,Queenstown,True,1
1,female,19.0,0,0,30.0,False,B,Southampton,True,1
1,female,48.0,1,0,39.6,False,A,Cherbourg,False,1
3,male,,0,0,7.7375,True,,Queenstown,True,0
1,female,,1,0,146.5208,False,B,Cherbourg,False,1
1,male,40.0,0,0,0.0,True,B,Southampton,True,0
3,male,31.0,0,0,7.775,True,,Southampton,True,0
3,female,8.0,3,1,21.075,False,,Southampton,False,0
3,male,26.0,0,0,18.7875,True,,Cherbourg,True,1
2,male,24.0,2,0,73.5,True,,Southampton,False,0
3,male,22.0,0,0,7.2292,True,,Cherbourg,True,0
2,female,4.0,1,1,23.0,False,,Southampton,False,1
1,male,45.0,0,0,26.55,True,,Southampton,True,1
1,female,42.0,0,0,227.525,False,,Cherbourg,True,1
1,male,32.0,0,0,30.5,True,B,Cherbourg,True,1
3,male,51.0,0,0,8.05,True,,Southampton,True,0
3,female,14.5,1,0,14.4542,False,,Cherbourg,False,0
3,male,,0,0,7.05,True,,Southampton,True,0
3,male,27.0,1,0,14.4542,True,,Cherbourg,False,0
1,male,,0,0,26.55,True,C,Southampton,True,0
3,male,8.0,4,1,29.125,False,,Queenstown,False,0
2,male,42.0,1,0,27.0,True,,Southampton,False,0
1,female,40.0,1,1,134.5,False,E,Cherbourg,False,1
3,female,5.0,4,2,31.3875,False,,Southampton,False,1
3,male,30.0,0,0,7.8958,True,,Southampton,True,0
3,female,,0,0,7.75,False,,Queenstown,True,1
3,male,4.0,4,1,29.125,False,,Queenstown,False,0
2,male,0.83,1,1,18.75,False,,Southampton,False,1
2,female,28.0,1,0,26.0,False,,Southampton,False,1
3,male,20.0,0,0,4.0125,True,,Cherbourg,True,0
3,male,,0,0,7.225,True,,Cherbourg,True,0
1,male,,0,0,30.6958,True,,Cherbourg,True,0
3,male,17.0,0,0,8.6625,True,,Southampton,True,0
3,male,,0,0,8.7125,True,,Cherbourg,True,0
3,male,29.0,0,0,7.775,True,,Southampton,True,0
3,male,35.0,0,0,7.125,True,,Southampton,True,0
3,female,6.0,4,2,31.275,False,,Southampton,False,0
3,female,19.0,0,0,7.8792,False,,Queenstown,True,1
3,male,21.0,0,0,7.8542,True,,Southampton,True,0
3,male,20.0,0,0,9.8458,True,,Southampton,True,0
2,female,7.0,0,2,26.25,False,,Southampton,False,1
3,male,39.0,0,0,7.925,True,,Southampton,True,1
3,male,26.0,1,0,14.4542,True,,Cherbourg,False,0
3,female,45.0,0,1,14.4542,False,,Cherbourg,False,0
3,male,33.0,1,1,20.525,True,,Southampton,False,0
2,male,2.0,1,1,26.0,False,F,Southampton,False,1
1,female,,1,0,89.1042,False,C,Cherbourg,False,1
3,female,26.0,1,0,16.1,False,,Southampton,False,0
3,male,32.0,0,0,56.4958,True,,Southampton,True,1
1,female,35.0,0,0,135.6333,False,C,Southampton,True,1
3,female,28.0,1,1,14.4,False,,Southampton,False,0
3,male,39.0,1,5,31.275,True,,Southampton,False,0
3,male,28.0,0,0,9.5,True,,Southampton,True,0
1,male,37.0,0,1,29.7,True,C,Cherbourg,False,0
3,male,,0,0,7.25,True,,Southampton,True,0
3,male,4.0,4,2,31.275,False,,Southampton,False,0
1,male,23.0,0,1,63.3583,True,D,Cherbourg,False,1
3,male,38.0,0,0,7.05,True,,Southampton,True,0
3,male,25.0,0,0,7.05,True,,Southampton,True,0
2,female,29.0,0,0,10.5,False,F,Southampton,True,1
1,male,54.0,0,0,51.8625,True,E,Southampton,True,0
2,female,24.0,0,2,14.5,False,,Southampton,False,1
3,male,28.0,0,0,7.8958,True,,Southampton,True,0
3,female,,0,2,22.3583,False,,Cherbourg,False,1
3,female,14.0,0,0,7.8542,False,,Southampton,True,0
2,female,41.0,0,1,19.5,False,,Southampton,False,1
3,male,,0,0,14.5,True,,Southampton,True,0
2,female,50.0,0,0,10.5,False,,Southampton,True,1
3,male,,0,0,7.2292,True,,Cherbourg,True,0
3,male,21.0,0,0,7.775,True,,Southampton,True,0
1,female,22.0,0,2,49.5,False,B,Cherbourg,False,1
3,male,24.0,0,0,7.4958,True,,Southampton,True,0
2,female,21.0,0,0,10.5,False,,Southampton,True,1
3,male,51.0,0,0,7.0542,True,,Southampton,True,0
2,female,24.0,2,1,27.0,False,,Southampton,False,1
2,male,19.0,0,0,13.0,True,,Southampton,True,0
3,male,22.0,0,0,8.05,True,,Southampton,True,0
1,male,61.0,0,0,33.5,True,B,Southampton,True,0
3,male,,0,0,8.05,True,,Southampton,True,0
3,male,19.0,0,0,10.1708,True,,Southampton,True,0
3,male,,0,0,8.05,True,,Southampton,True,0
3,female,22.0,0,0,7.75,False,,Queenstown,True,1
3,male,28.0,0,0,22.525,True,,Southampton,True,0
2,female,54.0,1,3,23.0,False,,Southampton,False,1
3,male,41.0,0,0,7.125,True,,Southampton,True,0
3,male,28.5,0,0,7.2292,True,,Cherbourg,True,0
3,male,,0,0,7.8958,True,,Cherbourg,True,0
2,male,21.0,1,0,11.5,True,,Southampton,False,0
2,female,40.0,1,1,39.0,False,,Southampton,False,1
2,male,36.0,0,0,10.5,True,,Southampton,True,0
2,female,29.0,1,0,26.0,False,,Southampton,False,1
3,female,15.0,1,0,14.4542,False,,Cherbourg,False,1
3,male,40.5,0,0,7.75,True,,Queenstown,True,0
3,male,29.0,0,0,7.75,True,,Queenstown,True,1
2,female,33.0,0,2,26.0,False,,Southampton,False,1
3,male,19.0,0,0,8.05,True,,Southampton,True,0
2,male,35.0,0,0,10.5,True,,Southampton,True,0
1,female,18.0,2,2,262.375,False,B,Cherbourg,False,1
3,female,18.0,1,0,17.8,False,,Southampton,False,0
1,male,,0,0,42.4,True,,Southampton,True,0
3,male,,0,0,7.7333,True,,Queenstown,True,0
3,male,,0,0,8.05,True,,Southampton,True,0
1,male,21.0,0,1,77.2875,True,D,Southampton,False,0
3,female,,0,0,7.8292,False,,Queenstown,True,1
1,female,39.0,1,1,110.8833,False,C,Cherbourg,False,1
3,male,20.0,0,0,7.8542,True,,Southampton,True,0
1,male,58.0,0,0,29.7,True,B,Cherbourg,True,0
1,male,49.0,1,0,56.9292,True,A,Cherbourg,False,1
3,female,5.0,2,1,19.2583,False,,Cherbourg,False,1
1,female,39.0,1,1,79.65,False,E,Southampton,False,1
3,male,17.0,0,0,8.6625,True,,Southampton,True,0
1,male,65.0,0,1,61.9792,True,B,Cherbourg,False,0
1,female,,1,0,133.65,False,,Southampton,False,1
1,female,,0,0,110.8833,False,,Cherbourg,True,1
3,male,21.0,0,0,8.05,True,,Southampton,True,0
1,male,31.0,0,0,50.4958,True,A,Southampton,True,0
3,male,32.0,0,0,7.925,True,,Southampton,True,1
2,male,39.0,0,0,13.0,True,,Southampton,True,0
3,male,20.0,0,0,8.05,True,,Southampton,True,0
2,male,34.0,0,0,13.0,True,D,Southampton,True,1
1,male,47.0,0,0,25.5875,True,E,Southampton,True,0
1,male,36.0,0,0,26.2875,True,E,Southampton,True,1
3,male,21.0,0,0,16.1,True,,Southampton,True,0
3,male,,0,0,8.05,True,,Southampton,True,0
3,male,,0,0,7.8958,True,,Southampton,True,0
